,Unnamed: 0.1,Unnamed: 0,subjects,objects,relationships,dates,titles,weight,Year
17,17,17,Sustainable Use,Three New Frog ...,https://www.natureandculture.org/elguabo/,"June 22, 2021","Three New Frog Species, Critical Water Sources & More Protected in El Guabo Municipal Conservation and Sustainable Use Area",5, 2021
18,18,18,Implementation,A Roadmap to Ho...,https://www.natureandculture.org/reddplan-pastaza/,"June 11, 2021",A Roadmap to Hope: Ecuador Approves REDD+ Implementation Plan to Reduce Deforestation and Forest Degradation in Pastaza,0, 2021
19,19,19,Deforestation,A Roadmap to Ho...,https://www.natureandculture.org/reddplan-pastaza/,"June 11, 2021",A Roadmap to Hope: Ecuador Approves REDD+ Implementation Plan to Reduce Deforestation and Forest Degradation in Pastaza,2, 2021
20,20,20,Forest,A Roadmap to Ho...,https://www.natureandculture.org/reddplan-pastaza/,"June 11, 2021",A Roadmap to Hope: Ecuador Approves REDD+ Implementation Plan to Reduce Deforestation and Forest Degradation in Pastaza,3, 2021
21,21,21,Biological,Protecting a Bi...,https://www.natureandculture.org/yacuambi/,"May 19, 2021",Protecting a Biological Hotspot from Mining,0, 2021
22,22,22,Conservation,A New Conservat...,https://www.natureandculture.org/maranon-rca/,"May 14, 2021",A New Conservation Area in South America’s “Grand Canyon”,0, 2021
23,23,23,Water,Two New Water P...,https://www.natureandculture.org/new-wpas/,"May 10, 2021",Two New Water Protection Areas in Ecuador,0, 2021
24,24,24,Conservation,A New Conservat...,https://www.natureandculture.org/jaen-y-tabaconas/,"May 6, 2021",A New Conservation Area in the Peruvian Andes,0, 2021
25,25,25,Diverse,Serranía Incahu...,https://www.natureandculture.org/serrania-incahuasi/,"April 19, 2021",Serranía Incahuasi Natural Area: Protecting Bolivia’s Diverse & Threatened Habitat,0, 2021
26,26,26,Habitat,Serranía Incahu...,https://www.natureandculture.org/serrania-incahuasi/,"April 19, 2021",Serranía Incahuasi Natural Area: Protecting Bolivia’s Diverse & Threatened Habitat,1, 2021
27,27,27,Water,New Map Identif...,https://www.natureandculture.org/water-map/,"April 8, 2021",New Map Identifies Areas of Water Importance in Ecuador,0, 2021
28,28,28,habitat,Expanding prote...,https://www.natureandculture.org/lajalcaexpansion/,"March 31, 2021",Expanding protected habitat for wildlife in the Peruvian Andes,0, 2021
29,29,29,habitat,Protecting inta...,https://www.natureandculture.org/tropical-andes-conservation/,"March 10, 2021",Protecting intact habitat in the Tropical Andes,0, 2021
30,30,30,Water,The First Water...,https://www.natureandculture.org/santa-rosa/,"January 27, 2021",The First Water Protection Area in Southern Ecuador,0, 2021
31,31,31,Water,Safeguarding Wa...,https://www.natureandculture.org/cuenca-acmus/,"January 20, 2021","Safeguarding Water Supplies for 500,000 People",0, 2021
32,32,32,Habitat,Saving Habitat ...,https://www.natureandculture.org/zamora/,"December 21, 2020",Saving Habitat in Southern Ecuador,0, 2020
33,33,33,Ecosystems,Connecting Ecos...,https://www.natureandculture.org/palora/,"December 16, 2020",Connecting Ecosystems from the Andes to the Amazon,0, 2020
34,34,34,Amazon,Connecting Ecos...,https://www.natureandculture.org/palora/,"December 16, 2020",Connecting Ecosystems from the Andes to the Amazon,1, 2020
35,35,35,Birder,A Birder’s Para...,https://www.natureandculture.org/unchog/,"December 3, 2020",A Birder’s Paradise Protected in Peru,0, 2020
36,36,36,Nature,Nature and Cult...,https://www.natureandculture.org/youtube/,"November 24, 2020",Nature and Culture’s YouTube Channel,0, 2020
37,37,37,Amazon,CEO Statement o...,https://www.natureandculture.org/amazon-fires-2020/,"November 6, 2020",CEO Statement on the Amazon Fires,0, 2020
38,38,38,Fires,CEO Statement o...,https://www.natureandculture.org/amazon-fires-2020/,"November 6, 2020",CEO Statement on the Amazon Fires,1, 2020
39,39,39,deforestation,Fighting defore...,https://www.natureandculture.org/serranias-de-iguembe/,"November 4, 2020",Fighting deforestation in Bolivia,0, 2020
40,40,40,Water,Saving Wildlife...,https://www.natureandculture.org/loja-area/,"October 27, 2020",Saving Wildlife and Water Resources,0, 2020
41,41,41,Nature,Donor Impact Re...,https://www.natureandculture.org/fall2020-donorimpactreport/,"October 20, 2020",Donor Impact Report: Nature’s Greatest Guardians,0, 2020
42,42,42,reserve,The first state...,https://www.natureandculture.org/sierra-de-tacuichamona/,"October 16, 2020","The first state reserve in Sinaloa, Mexico",0, 2020
43,43,43,Amazon,Your generosity...,https://www.natureandculture.org/pakayaku-support/,"October 7, 2020",Your generosity at work in the Amazon Rainforest,0, 2020
44,44,44,Rainforest,Your generosity...,https://www.natureandculture.org/pakayaku-support/,"October 7, 2020",Your generosity at work in the Amazon Rainforest,1, 2020
45,45,45,Endangered,Spotted! Endang...,https://www.natureandculture.org/tapir-spotted/,"September 18, 2020",Spotted! Endangered tapir in Conservation Area,0, 2020
46,46,46,Conservation,Spotted! Endang...,https://www.natureandculture.org/tapir-spotted/,"September 18, 2020",Spotted! Endangered tapir in Conservation Area,1, 2020
47,47,47,ecosystem,Municipal Prote...,https://www.natureandculture.org/paltas-expanded/,"August 18, 2020",Municipal Protected Area expanded in Ecuador’s most threatened ecosystem,0, 2020
48,48,48,newest,Thanks to your ...,https://www.natureandculture.org/rio-negro-sopladora-expanded/,"August 5, 2020","Thanks to your support, Ecuador expands its newest national park!",0, 2020
49,49,49,conservation,A milestone for...,https://www.natureandculture.org/milestone-in-peru/,"July 17, 2020",A milestone for conservation in Peru,0, 2020
50,50,50,nature,Helping nature’...,https://www.natureandculture.org/supporting-shuar/,"July 10, 2020",Helping nature’s greatest guardians,0, 2020
51,51,51,Nature,Study by Nature...,https://www.natureandculture.org/el-oro-study/,"June 19, 2020",Study by Nature and Culture identifies priority conservation areas,0, 2020
52,52,52,conservation,Study by Nature...,https://www.natureandculture.org/el-oro-study/,"June 19, 2020",Study by Nature and Culture identifies priority conservation areas,1, 2020
53,53,53,equity,A message on di...,https://www.natureandculture.org/inclusion/,"June 4, 2020","A message on diversity, equity, and inclusion",0, 2020
54,54,54,Conserving,Conserving conn...,https://www.natureandculture.org/ecuador-connectivity-corridors/,"May 22, 2020",Conserving connectivity in Ecuador,0, 2020
55,55,55,Biodiversity,Biodiversity & ...,https://www.natureandculture.org/biodiversity-covid-19/,"April 10, 2020",Biodiversity & Your Health,0, 2020
56,56,56,Nature,Nature Is Calli...,https://www.natureandculture.org/2020-spring-newsletter/,"April 8, 2020",Nature Is Calling: The Climate Issue,0, 2020
57,57,57,Climate,Nature Is Calli...,https://www.natureandculture.org/2020-spring-newsletter/,"April 8, 2020",Nature Is Calling: The Climate Issue,1, 2020
58,58,58,Conservation,Conservation ar...,https://www.natureandculture.org/huaricancha/,"February 21, 2020",Conservation area nearly doubled in northern Peru,0, 2020
59,59,59,Monte,New Study on Mo...,https://www.natureandculture.org/remm-study/,"February 7, 2020",New Study on Monte Mojino Reserve,0, 2020
60,60,60,Reserve,New Study on Mo...,https://www.natureandculture.org/remm-study/,"February 7, 2020",New Study on Monte Mojino Reserve,1, 2020
61,61,61,Conservation,The first Regio...,https://www.natureandculture.org/carpish/,"January 2, 2020","The first Regional Conservation Area in Huánuco, Peru",0, 2020
62,62,62,Nature,Nature is Calli...,https://www.natureandculture.org/fall-newsletter-2019/,"November 13, 2019",Nature is Calling: 2019 Fall Newsletter,0, 2019
63,63,63,Water,Securing Clean ...,https://www.natureandculture.org/paramo-de-vida/,"October 28, 2019",Securing Clean Water for 46 Communities,0, 2019
64,64,64,Conservation,The First Regio...,https://www.natureandculture.org/chauperca/,"October 3, 2019","The First Regional Conservation Area in Cajamarca, Peru",0, 2019
65,65,65,planet,We did it! 20 M...,https://www.natureandculture.org/20-million-acres/,"May 10, 2019",We did it! 20 MILLION acres   for the planet.,0, 2019
66,66,66,Conservation,Huamboya Munici...,https://www.natureandculture.org/huamboya/,"January 25, 2019",Huamboya Municipal Conservation Area Protects Critical Ecosystems in Central Ecuador,0, 2019
67,67,67,Ecosystems,Huamboya Munici...,https://www.natureandculture.org/huamboya/,"January 25, 2019",Huamboya Municipal Conservation Area Protects Critical Ecosystems in Central Ecuador,1, 2019
68,68,68,Reserve,Zamora Chinchip...,https://www.natureandculture.org/zamora-chinchipe/,"January 4, 2019",Zamora Chinchipe Provincial Reserve Protects Nearly 1.1 Million Acres in Southern Ecuador,0, 2019
69,69,69,Conservation,Boshumi Regiona...,https://www.natureandculture.org/boshumi/,"December 17, 2018","Boshumi Regional Conservation Area Protects Nearly 500,000 Acres of Critical Habitat in North-Central Peru",0, 2018
70,70,70,Habitat,Boshumi Regiona...,https://www.natureandculture.org/boshumi/,"December 17, 2018","Boshumi Regional Conservation Area Protects Nearly 500,000 Acres of Critical Habitat in North-Central Peru",1, 2018
71,71,71,Colombia,Volcán Azufral ...,https://www.natureandculture.org/volcan-azufral/,"November 5, 2018",Volcán Azufral Natural Park: Protecting Colombia’s Páramos,0, 2018
72,72,72,Nature,Nature is Calli...,https://www.natureandculture.org/2018-fall-newsletter/,"October 24, 2018",Nature is Calling: 2018 Fall Newsletter,0, 2018
73,73,73,Conservation,Cujillo Private...,https://www.natureandculture.org/cujillo/,"August 28, 2018",Cujillo Private Conservation Area: Protecting Peru’s Incredible Dry Forest,0, 2018
74,74,74,Forest,Cujillo Private...,https://www.natureandculture.org/cujillo/,"August 28, 2018",Cujillo Private Conservation Area: Protecting Peru’s Incredible Dry Forest,1, 2018
75,75,75,Conservation,Peru Declares N...,https://www.natureandculture.org/maranon-dry-forests/,"June 22, 2018",Peru Declares New Conservation Area Protecting Almost 200 Species Found Nowhere Else on the Planet,0, 2018
76,76,76,Planet,Peru Declares N...,https://www.natureandculture.org/maranon-dry-forests/,"June 22, 2018",Peru Declares New Conservation Area Protecting Almost 200 Species Found Nowhere Else on the Planet,1, 2018
77,77,77,Colombia,Colombia Declar...,https://www.natureandculture.org/paramo-ovejas-tauso-park/,"June 15, 2018","Colombia Declares New Natural Park Protecting Water for 116,000 People",0, 2018
78,78,78,Water,Colombia Declar...,https://www.natureandculture.org/paramo-ovejas-tauso-park/,"June 15, 2018","Colombia Declares New Natural Park Protecting Water for 116,000 People",1, 2018
79,79,79,Nature,Announcing Matt...,https://www.natureandculture.org/matt-clark-president-ceo/,"April 9, 2018",Announcing Matt Clark as new President and CEO of Nature and Culture International,0, 2018
80,80,80,Nature,Nature is calli...,https://www.natureandculture.org/springnewsletter2018/,"April 3, 2018","Nature is calling, our spring newsletter is here!",0, 2018
81,81,81,Ecosystems,Milestone Natio...,https://www.natureandculture.org/ecuador-declares-rio-negro-sopladora-national-park/,"February 1, 2018",Milestone National Park: A Critical Span In  Ecuador’s 100-Mile Bridge of Protected Mountaintop Ecosystems,0, 2018
82,82,82,Amazon,Protecting the ...,https://www.natureandculture.org/protecting-watershed-amazon-rainforest/,"July 27, 2017",Protecting the Watershed of the Amazon Rainforest,0, 2017
83,83,83,Rainforest,Protecting the ...,https://www.natureandculture.org/protecting-watershed-amazon-rainforest/,"July 27, 2017",Protecting the Watershed of the Amazon Rainforest,1, 2017
84,84,84,Nature,Nature is Calli...,https://www.natureandculture.org/nature-calling-summer-2017/,"July 20, 2017","Nature is Calling, Summer 2017",0, 2017
85,85,85,Nature,Nature and Cult...,https://www.natureandculture.org/nature-and-culture-international-announces-appointment-of-leading-biologist-jose-alvarez-in-peru/,"April 24, 2017","Nature and Culture International Announces Appointment of Leading Conservationist, Jose Alvarez, in Peru",0, 2017
86,86,86,Announces,Nature and Cult...,https://www.natureandculture.org/nature-and-culture-international-announces-appointment-of-leading-biologist-jose-alvarez-in-peru/,"April 24, 2017","Nature and Culture International Announces Appointment of Leading Conservationist, Jose Alvarez, in Peru",1, 2017
87,87,87,Nature,Nature & Cultur...,https://www.natureandculture.org/nature-culture-international-helps-ecuador-establish-a-6-3-million-acre-conservation-corridor-in-amazon-rainforest/,"March 13, 2017",Nature & Culture International Helps Ecuador with Establishment of A 6.3-million-acre Conservation Corridor in Amazon Rainforest,0, 2017
88,88,88,Conservation,Nature & Cultur...,https://www.natureandculture.org/nature-culture-international-helps-ecuador-establish-a-6-3-million-acre-conservation-corridor-in-amazon-rainforest/,"March 13, 2017",Nature & Culture International Helps Ecuador with Establishment of A 6.3-million-acre Conservation Corridor in Amazon Rainforest,2, 2017
89,89,89,Amazon,Nature & Cultur...,https://www.natureandculture.org/nature-culture-international-helps-ecuador-establish-a-6-3-million-acre-conservation-corridor-in-amazon-rainforest/,"March 13, 2017",Nature & Culture International Helps Ecuador with Establishment of A 6.3-million-acre Conservation Corridor in Amazon Rainforest,4, 2017
90,90,90,Rainforest,Nature & Cultur...,https://www.natureandculture.org/nature-culture-international-helps-ecuador-establish-a-6-3-million-acre-conservation-corridor-in-amazon-rainforest/,"March 13, 2017",Nature & Culture International Helps Ecuador with Establishment of A 6.3-million-acre Conservation Corridor in Amazon Rainforest,5, 2017
91,91,91,Nature,Striking the Ba...,https://www.natureandculture.org/striking-the-balance-nature-economic-development-in-bolivia/,"March 2, 2017",Striking the Balance: Nature & Economic Development in Bolivia,0, 2017
92,92,92,Colombia,Colombia Create...,https://www.natureandculture.org/colombia-creates-a-new-protected-area/,"December 19, 2016",Colombia Creates a New Protected Area!,0, 2016
93,93,93,planet,The San Diego U...,https://www.natureandculture.org/the-san-diego-union-tribune-interviews-nci-founder-ivan-gayler-on-saving-the-planet-one-forest-at-a-time/,"September 26, 2016","The San Diego Union Tribune Interviews NCI Founder Ivan Gayler on Saving the planet, one forest at a time.",0, 2016
94,94,94,forest,The San Diego U...,https://www.natureandculture.org/the-san-diego-union-tribune-interviews-nci-founder-ivan-gayler-on-saving-the-planet-one-forest-at-a-time/,"September 26, 2016","The San Diego Union Tribune Interviews NCI Founder Ivan Gayler on Saving the planet, one forest at a time.",1, 2016
95,95,95,Reserve,"66,000 Acre Res...",https://www.natureandculture.org/66000-acre-reserve-declared-in-northern-peru/,"June 10, 2016","66,000 Acre Reserve Declared in Northern Peru",0, 2016
96,96,96,Birding,A Milestone for...,https://www.natureandculture.org/a-milestone-for-the-protection-of-perus-birding-hotspot/,"May 25, 2016",A Milestone for the Protection of Peru’s Birding Hotspot,0, 2016
97,97,97,Sustainable Livelihoods,Sustainable Liv...,https://www.natureandculture.org/achiote-harvest-in-ecuador/,"May 10, 2016",Sustainable Livelihoods Series: Achiote Harvest in Ecuador,0, 2016
98,98,98,Harvest,Sustainable Liv...,https://www.natureandculture.org/achiote-harvest-in-ecuador/,"May 10, 2016",Sustainable Livelihoods Series: Achiote Harvest in Ecuador,1, 2016
99,99,99,Awards,NCI Announced a...,https://www.natureandculture.org/nci-announced-as-2016-classy-awards-finalist/,"April 19, 2016",NCI Announced as 2016 Classy Awards Finalist,0, 2016
100,100,100,Finalist,NCI Announced a...,https://www.natureandculture.org/nci-announced-as-2016-classy-awards-finalist/,"April 19, 2016",NCI Announced as 2016 Classy Awards Finalist,1, 2016
101,101,101,Monte,Jaguar Sighting...,https://www.natureandculture.org/jaguar-sighting-near-nci-mexico/,"April 12, 2016",Jaguar Sighting Near NCI’s Monte Mojino Reserve in Mexico,0, 2016
102,102,102,Reserve,Jaguar Sighting...,https://www.natureandculture.org/jaguar-sighting-near-nci-mexico/,"April 12, 2016",Jaguar Sighting Near NCI’s Monte Mojino Reserve in Mexico,1, 2016
103,103,103,Nature,Nature and Cult...,https://www.natureandculture.org/nature-and-culture-international-names-new-chairman/,"March 1, 2016",Nature and Culture International Names New Chairman of the Board,0, 2016
104,104,104,Reserve,"23,000 Acre Res...",https://www.natureandculture.org/el-pan-municipal-reserve-declared/,"February 25, 2016","23,000 Acre Reserve Declared in the Andes of Ecuador",0, 2016
105,105,105,Amazon,"In 2015: 190,00...",https://www.natureandculture.org/190000-acres-of-amazon-rainforest-safeguarded-in-peru/,"January 19, 2016","In 2015: 190,000 acres of Amazon rainforest safeguarded in Peru",0, 2016
106,106,106,rainforest,"In 2015: 190,00...",https://www.natureandculture.org/190000-acres-of-amazon-rainforest-safeguarded-in-peru/,"January 19, 2016","In 2015: 190,000 acres of Amazon rainforest safeguarded in Peru",1, 2016
107,107,107,forests,In 2015: Nearly...,https://www.natureandculture.org/450000-acres-of-watershed-forests-protected/,"January 19, 2016","In 2015: Nearly 450,000 acres of watershed forests protected in Bolivia and Ecuador",0, 2016
108,108,108,Colombia,In 2015: Four n...,https://www.natureandculture.org/four-new-reserves-declared-in-colombia/,"January 19, 2016","In 2015: Four new reserves declared in Colombia preserving over 170,000 acres",0, 2016
109,109,109,Monte,Celebrating Mon...,https://www.natureandculture.org/declaration-of-monte-alegre/,"December 14, 2015","Celebrating Monte Alegre: 50,000 acres protected in the Amazon rainforest of Peru",0, 2015
110,110,110,Amazon,Celebrating Mon...,https://www.natureandculture.org/declaration-of-monte-alegre/,"December 14, 2015","Celebrating Monte Alegre: 50,000 acres protected in the Amazon rainforest of Peru",2, 2015
111,111,111,rainforest,Celebrating Mon...,https://www.natureandculture.org/declaration-of-monte-alegre/,"December 14, 2015","Celebrating Monte Alegre: 50,000 acres protected in the Amazon rainforest of Peru",3, 2015
112,112,112,Estuary,Paving the Way ...,https://www.natureandculture.org/paving-the-way-for-protection-of-perus-virrila-estuary/,"November 20, 2015",Paving the Way for Protection of Peru’s Virrilá Estuary,0, 2015
113,113,113,Amazon,"93,000 Acres of...",https://www.natureandculture.org/tijae-nain-declared-in-peru/,"October 2, 2015","93,000 Acres of Amazon Rainforest Protected in Peru with the Indigenous Awajun",0, 2015
114,114,114,Rainforest,"93,000 Acres of...",https://www.natureandculture.org/tijae-nain-declared-in-peru/,"October 2, 2015","93,000 Acres of Amazon Rainforest Protected in Peru with the Indigenous Awajun",1, 2015
115,115,115,Reserve,New Reserve in ...,https://www.natureandculture.org/new-reserve-in-ecuador-protects-key-andean-ecosystems-along-with-local-water-supply/,"September 21, 2015",New Reserve in Ecuador Protects Key Andean Ecosystems Along with Local Water Supply,0, 2015
116,116,116,Ecosystems,New Reserve in ...,https://www.natureandculture.org/new-reserve-in-ecuador-protects-key-andean-ecosystems-along-with-local-water-supply/,"September 21, 2015",New Reserve in Ecuador Protects Key Andean Ecosystems Along with Local Water Supply,2, 2015
117,117,117,Water,New Reserve in ...,https://www.natureandculture.org/new-reserve-in-ecuador-protects-key-andean-ecosystems-along-with-local-water-supply/,"September 21, 2015",New Reserve in Ecuador Protects Key Andean Ecosystems Along with Local Water Supply,3, 2015
118,118,118,Colombia,NCI Assists in ...,https://www.natureandculture.org/nci-assists-in-colombias-declaration-of-two-new-cloud-forest-reserves/,"September 21, 2015",NCI Assists in Colombia’s Declaration of Two New Cloud Forest Reserves,0, 2015
119,119,119,Forest,NCI Assists in ...,https://www.natureandculture.org/nci-assists-in-colombias-declaration-of-two-new-cloud-forest-reserves/,"September 21, 2015",NCI Assists in Colombia’s Declaration of Two New Cloud Forest Reserves,1, 2015
120,120,120,Amazon,Making Great St...,https://www.natureandculture.org/making-great-strides-in-protecting-ecuadors-amazon-rainforest/,"September 21, 2015",Making Great Strides in Protecting Ecuador’s Amazon Rainforest through SocioBosque,0, 2015
121,121,121,Rainforest,Making Great St...,https://www.natureandculture.org/making-great-strides-in-protecting-ecuadors-amazon-rainforest/,"September 21, 2015",Making Great Strides in Protecting Ecuador’s Amazon Rainforest through SocioBosque,1, 2015
122,122,122,Conservation,Mongabay.com In...,https://www.natureandculture.org/mongabay-interview-with-byron-swift/,"July 15, 2015",Mongabay.com Interviews NCI President Byron Swift on Scaling Bottom-Up Conservation in Latin America,0, 2015
123,123,123,Reserve,Celebrating the...,https://www.natureandculture.org/maijuna-kichwa-reserve-declared/,"June 18, 2015","Celebrating the National Declaration of Peru’s 977,600 Acre Maijuna-Kichwa Reserve After 8 Years of NCI’s Support",0, 2015
124,124,124,Ríos,An Interview wi...,https://www.natureandculture.org/interview-with-romero-rios/,"June 18, 2015","An Interview with Romero Ríos, President of the Indigenous Maijuna Federation",0, 2015
125,125,125,Reserve,NCI-Peru Press ...,https://www.natureandculture.org/nci-peru-press-release-maijuna-kichwa-reserve/,"June 17, 2015",NCI-Peru Press Release: Celebrating the Declaration of the Maijuna-Kichwa Reserve in Peru’s Amazon,0, 2015
126,126,126,Amazon,NCI-Peru Press ...,https://www.natureandculture.org/nci-peru-press-release-maijuna-kichwa-reserve/,"June 17, 2015",NCI-Peru Press Release: Celebrating the Declaration of the Maijuna-Kichwa Reserve in Peru’s Amazon,1, 2015
127,127,127,Water,Key Water Sourc...,https://www.natureandculture.org/new-protected-area-in-chachapoyas-peru/,"May 21, 2015","Key Water Sources and Archeological Sites Preserved by New Protected Area in Chachapoyas, Peru",0, 2015
128,128,128,Rainforest,Rainforest Cons...,https://www.natureandculture.org/rainforest-conservation-in-ecuador-through-the-eyes-of-an-indigenous-achuar/,"April 14, 2015",Rainforest Conservation in Ecuador through the Eyes of an Indigenous Achuar,0, 2015
129,129,129,Conservation,Rainforest Cons...,https://www.natureandculture.org/rainforest-conservation-in-ecuador-through-the-eyes-of-an-indigenous-achuar/,"April 14, 2015",Rainforest Conservation in Ecuador through the Eyes of an Indigenous Achuar,1, 2015
130,130,130,Colombia,New Beginnings:...,https://www.natureandculture.org/new-beginnings-nci-expands-to-protect-colombias-biodiversity/,"April 14, 2015",New Beginnings: NCI Expands to Protect Colombia’s Biodiversity,0, 2015
131,131,131,Biodiversity,New Beginnings:...,https://www.natureandculture.org/new-beginnings-nci-expands-to-protect-colombias-biodiversity/,"April 14, 2015",New Beginnings: NCI Expands to Protect Colombia’s Biodiversity,1, 2015
132,132,132,Ecosystems,New Protected A...,https://www.natureandculture.org/new-protected-area-declared-to-conserve-key-ecosystems-in-piura-peru/,"April 14, 2015","New Protected Area Declared to Conserve Key Ecosystems in Piura, Peru",0, 2015
133,133,133,Nature,Renowned biolog...,https://www.natureandculture.org/e-o-wilson-joins-board-of-directors/,"March 4, 2015",Renowned biologist E.O. Wilson joins Nature and Culture’s Board of Directors,0, 2015
134,134,134,Forests,NCI Signs the U...,https://www.natureandculture.org/nci-joins-the-united-nations-new-york-declaration-on-forests/,"February 25, 2015",NCI Signs the United Nations’ New York Declaration on Forests,0, 2015
135,135,135,Amazon,Indigenous Shua...,https://www.natureandculture.org/nci-helping-indigenous-communities-protect-amazon-rainforest-in-ecuador/,"December 12, 2014","Indigenous Shuar and Kichwa Communities Protect Over 100,000 Acres of Amazon Rainforest in Ecuador",0, 2014
136,136,136,Rainforest,Indigenous Shua...,https://www.natureandculture.org/nci-helping-indigenous-communities-protect-amazon-rainforest-in-ecuador/,"December 12, 2014","Indigenous Shuar and Kichwa Communities Protect Over 100,000 Acres of Amazon Rainforest in Ecuador",1, 2014
137,137,137,Conservation,Disney Supports...,https://www.natureandculture.org/disney-supports-ncis-work-in-mexico-with-a-grant-for-jaguar-conservation/,"October 20, 2014",Disney Supports NCI’s Work in Mexico with a Grant for Jaguar Conservation,0, 2014
138,138,138,Rainforest,Protection of K...,https://www.natureandculture.org/key-watershed-protected-in-amazonas-peru-totals-1617000-acres-of-rainforest/,"October 20, 2014","Protection of Key Watershed Underway in Peru, Totaling 1,617,000 Acres of Rainforest",0, 2014
139,139,139,Environmental,Peruvian Candid...,https://www.natureandculture.org/peruvian-candidates-for-regional-president-support-environmental-and-social-principles/,"September 16, 2014",Peruvian Candidates for Regional President Support Environmental and Social Principles,0, 2014
140,140,140,Colombia,Opportunities f...,https://www.natureandculture.org/opportunities-for-expansion-in-colombia/,"August 13, 2014",Opportunities for Expansion in Colombia,0, 2014
141,141,141,Lydia,Interview with ...,https://www.natureandculture.org/interview-with-lydia-lozano-from-nci-mexico/,"July 18, 2014","Interview with Lydia Lozano, Project Coordinator for NCI-Mexico",0, 2014
142,142,142,Reserve,NCI’s Work Supp...,https://www.natureandculture.org/ncis-work-supports-creation-of-ecuadors-6th-unesco-biosphere-reserve/,"June 13, 2014",NCI’s Work Supports Creation of Ecuador’s 6th UNESCO Biosphere Reserve,0, 2014
143,143,143,Sustainable Development,UNDP’s Equator ...,https://www.natureandculture.org/equator-prize/,"June 10, 2014",UNDP’s Equator Prize Recognizes Sustainable Development Project,0, 2014
